x,y,days,cases
1,1.392395271,1,1
1.849055993,2.658221797,2,3
2.75471615,3.797462193,3,4
4.056601574,7.215183382,4,7
5.113204443,16.20252912,5,16
6.094337252,24.55696159,6,25
7.056598982,27.59493308,7,28
8.037731791,51.26581783,8,51
9.075467469,24.17721189,9,24
10.05659769,38.48100991,10,38
11.0377279,35.18986616,11,35
12.09433207,29.74682774,12,30
13.15093623,22.91138536,13,23
14.07546358,14.43037546,14,14
15.13206516,7.974682774,15,8
16.13206386,5.949356857,16,6
17.13206516,6.962019815,17,7
18.15093235,6.329115244,18,6
19.11319408,3.670876064,19,4
20.0754584,4.050634452,20,4
21.22639982,3.670876064,21,4
22.16979565,5.189874848,22,5
23.16979695,0.506327134,23,1
24.24526701,2.531635668,24,3
25.24526571,0.126577438,25,0
26.2641329,0.126577438,26,0
27.20752874,2.531635668,27,3
28.2829988,-0.126586129,28,0
29.26412902,0.506327134,29,1
30.2641329,1.898739788,30,2
